ICAO24,call_sign,departure_time,departure_date,arrival_time,arrival_date,departure_airport_ICAO,destination_airport_ICAO,id
461108,FSF992Y,2022-09-14T09:54:58Z,2022-09-14,2022-09-14T11:04:21Z,2022-09-14,LSGL,NA,461108_2022-09-14 11:54:58
4b1b12,HBKGO,2022-09-14T14:14:01Z,2022-09-14,2022-09-14T15:03:57Z,2022-09-14,LSGL,LSZB,4b1b12_2022-09-14 16:14:01
4b1af2,HBKFI,2022-09-14T15:00:34Z,2022-09-14,2022-09-14T15:52:46Z,2022-09-14,LSGL,LSGL,4b1af2_2022-09-14 17:00:34
4b43ad,RGA04,2022-09-14T18:43:41Z,2022-09-14,2022-09-14T18:55:27Z,2022-09-14,LSGL,LSMP,4b43ad_2022-09-14 20:43:41
46208f,FSF746F,2022-09-15T06:29:18Z,2022-09-15,2022-09-15T06:43:54Z,2022-09-15,LSGL,LSGG,46208f_2022-09-15 08:29:18
4d02a8,JFA87S,2022-09-15T07:12:50Z,2022-09-15,2022-09-15T08:18:28Z,2022-09-15,LSGL,LFPB,4d02a8_2022-09-15 09:12:50
4b1af2,HBKFI,2022-09-15T08:06:40Z,2022-09-15,2022-09-15T08:37:43Z,2022-09-15,LSGL,LSGL,4b1af2_2022-09-15 10:06:40
4d02fd,LXVAD,2022-09-15T09:07:51Z,2022-09-15,2022-09-15T09:49:58Z,2022-09-15,LSGL,LFLC,4d02fd_2022-09-15 11:07:51
4b28e3,HBPMP,2022-09-15T09:31:26Z,2022-09-15,2022-09-15T09:46:36Z,2022-09-15,LSGL,LSGL,4b28e3_2022-09-15 11:31:26
4b1af2,HBKFI,2022-09-15T09:47:55Z,2022-09-15,2022-09-15T10:01:25Z,2022-09-15,LSGL,LSGL,4b1af2_2022-09-15 11:47:55
460861,FSF911G,2022-09-15T12:04:10Z,2022-09-15,2022-09-15T12:52:50Z,2022-09-15,LSGL,LIML,460861_2022-09-15 14:04:10
461981,FSF145T,2022-09-15T12:29:16Z,2022-09-15,2022-09-15T14:20:51Z,2022-09-15,LSGL,EGHR,461981_2022-09-15 14:29:16
461fbd,FSF12N,2022-09-15T13:08:53Z,2022-09-15,2022-09-15T14:47:42Z,2022-09-15,LSGL,LIPZ,461fbd_2022-09-15 15:08:53
4b1b0e,HBKGK,2022-09-15T14:39:19Z,2022-09-15,2022-09-15T15:09:21Z,2022-09-15,LSGL,LSZB,4b1b0e_2022-09-15 16:39:19
461838,FSF532T,2022-09-15T16:10:43Z,2022-09-15,2022-09-15T18:21:21Z,2022-09-15,LSGL,EGTK,461838_2022-09-15 18:10:43
460861,FSF116N,2022-09-16T06:20:44Z,2022-09-16,2022-09-16T07:18:04Z,2022-09-16,LSGL,LFMC,460861_2022-09-16 08:20:44
4b3204,HBSYM,2022-09-16T07:21:34Z,2022-09-16,2022-09-16T07:59:36Z,2022-09-16,LSGL,LSGL,4b3204_2022-09-16 09:21:34
4d02a3,JFA83H,2022-09-16T08:14:01Z,2022-09-16,2022-09-16T08:30:14Z,2022-09-16,LSGL,LFLI,4d02a3_2022-09-16 10:14:01
4d02d8,JFA50F,2022-09-16T10:03:26Z,2022-09-16,2022-09-16T12:18:19Z,2022-09-16,LSGL,LEIB,4d02d8_2022-09-16 12:03:26
460861,FSF974W,2022-09-16T10:19:17Z,2022-09-16,2022-09-16T11:58:56Z,2022-09-16,LSGL,EBMB,460861_2022-09-16 12:19:17
39c949,FHSKJ,2022-09-16T10:55:52Z,2022-09-16,2022-09-16T11:19:54Z,2022-09-16,LSGL,LSMM,39c949_2022-09-16 12:55:52
4b0f56,HBFVA,2022-09-16T12:38:35Z,2022-09-16,2022-09-16T12:54:21Z,2022-09-16,LSGL,LSGG,4b0f56_2022-09-16 14:38:35
4b1af2,HBKFI,2022-09-16T12:43:28Z,2022-09-16,2022-09-16T13:32:21Z,2022-09-16,LSGL,LSGL,4b1af2_2022-09-16 14:43:28
4b1bdd,HBKOJ,2022-09-16T13:20:33Z,2022-09-16,2022-09-16T14:09:50Z,2022-09-16,LSGL,LSGL,4b1bdd_2022-09-16 15:20:33
4b0f7f,BQA12,2022-09-16T14:18:00Z,2022-09-16,2022-09-16T15:39:26Z,2022-09-16,LSGL,LIRZ,4b0f7f_2022-09-16 16:18:00
4b3204,HBSYM,2022-09-16T14:26:30Z,2022-09-16,2022-09-16T14:49:13Z,2022-09-16,LSGL,LSGE,4b3204_2022-09-16 16:26:30
4d02fd,LXVAD,2022-09-16T14:37:05Z,2022-09-16,2022-09-16T14:51:58Z,2022-09-16,LSGL,LFLI,4d02fd_2022-09-16 16:37:05
4b39c9,HBVWZ,2022-09-16T14:39:21Z,2022-09-16,2022-09-16T15:30:46Z,2022-09-16,LSGL,LFMC,4b39c9_2022-09-16 16:39:21
4b27c0,HBPBK,2022-09-16T15:39:29Z,2022-09-16,2022-09-16T17:00:25Z,2022-09-16,LSGL,LFME,4b27c0_2022-09-16 17:39:29
4b1af2,HBKFI,2022-09-16T15:54:48Z,2022-09-16,2022-09-16T17:06:15Z,2022-09-16,LSGL,LSGL,4b1af2_2022-09-16 17:54:48
461838,FSF200M,2022-09-17T06:00:25Z,2022-09-17,2022-09-17T06:40:59Z,2022-09-17,LSGL,LFMN,461838_2022-09-17 08:00:25
391a38,HBOJI,2022-09-17T07:11:28Z,2022-09-17,2022-09-17T07:35:20Z,2022-09-17,LSGL,LFLI,391a38_2022-09-17 09:11:28
4b1af2,HBKFI,2022-09-17T07:13:48Z,2022-09-17,2022-09-17T07:36:29Z,2022-09-17,LSGL,LFLI,4b1af2_2022-09-17 09:13:48
4b1b12,HBKGO,2022-09-17T08:20:00Z,2022-09-17,2022-09-17T09:10:23Z,2022-09-17,LSGL,LSZB,4b1b12_2022-09-17 10:20:00
4b43ad,RGA04,2022-09-17T09:16:22Z,2022-09-17,2022-09-17T09:27:53Z,2022-09-17,LSGL,LSMP,4b43ad_2022-09-17 11:16:22
4b3200,HBSYI,2022-09-17T09:28:06Z,2022-09-17,2022-09-17T09:49:32Z,2022-09-17,LSGL,LSGL,4b3200_2022-09-17 11:28:06
4b4089,HBYLL,2022-09-17T10:06:38Z,2022-09-17,2022-09-17T11:09:37Z,2022-09-17,LSGL,LSZF,4b4089_2022-09-17 12:06:38
4b1bdd,HBKOJ,2022-09-17T12:00:20Z,2022-09-17,2022-09-17T12:23:19Z,2022-09-17,LSGL,LSGB,4b1bdd_2022-09-17 14:00:20
4b2ee5,HBRTT,2022-09-17T13:11:00Z,2022-09-17,2022-09-17T13:32:51Z,2022-09-17,LSGL,LSZB,4b2ee5_2022-09-17 15:11:00
4b43ad,RGA04,2022-09-17T13:54:47Z,2022-09-17,2022-09-17T14:04:51Z,2022-09-17,LSGL,LSGP,4b43ad_2022-09-17 15:54:47
4b07df,HBCZN,2022-09-17T14:04:14Z,2022-09-17,2022-09-17T15:41:06Z,2022-09-17,LSGL,LSGL,4b07df_2022-09-17 16:04:14
4b1bf5,HBKPH,2022-09-17T16:08:08Z,2022-09-17,2022-09-17T16:20:30Z,2022-09-17,LSGL,LSGL,4b1bf5_2022-09-17 18:08:08
4b1bdd,HBKOJ,2022-09-17T16:09:08Z,2022-09-17,2022-09-17T16:38:37Z,2022-09-17,LSGL,LSGL,4b1bdd_2022-09-17 18:09:08
4b4271,HBZEF,2022-09-17T17:11:12Z,2022-09-17,2022-09-17T17:25:36Z,2022-09-17,LSGL,LSGK,4b4271_2022-09-17 19:11:12
4b43ad,RGA04,2022-09-17T20:18:23Z,2022-09-17,2022-09-17T20:32:37Z,2022-09-17,LSGL,LSGG,4b43ad_2022-09-17 22:18:23
4b28e3,HBPMP,2022-09-18T07:05:18Z,2022-09-18,2022-09-18T08:08:32Z,2022-09-18,LSGL,LFGA,4b28e3_2022-09-18 09:05:18
